date,stock_id,stock_name,open,high,low,close,volume,macd_status
2025-12-31,3629,地心引力,0.0,0.0,0.0,0.0,0,-
2025-12-31,3687,歐買尬,80.0,84.0,79.6,83.0,341,-
2025-12-31,5481,新華,22.95,23.1,22.65,22.7,472,-
2025-12-31,5450,寶聯通,15.05,15.05,14.5,14.55,220,-
2025-12-31,6438,迅得,138.0,139.0,136.5,137.5,338,-
2025-12-31,3450,聯鈞,271.5,277.5,269.0,270.0,13765,-
2025-12-31,8499,鼎炫-KY,346.5,351.0,336.0,339.5,292,-
2025-12-31,2459,敦吉,66.0,66.5,66.0,66.1,40,-
2025-12-31,6165,浪凡,47.4,47.8,46.95,47.25,146,-
2025-12-31,2429,銘旺科,80.5,80.5,79.4,80.2,324,-
2025-12-31,2241,艾姆勒,36.1,36.7,35.9,36.65,246,-
2025-12-31,2614,東森,22.65,23.0,22.6,22.6,844,-
2025-12-31,1456,怡華,13.0,13.35,13.0,13.2,19,-
2025-12-31,1453,大將,12.75,12.75,12.5,12.5,48,-
2025-12-31,1443,立益,27.25,27.25,27.25,27.25,6,-
2025-12-31,3669,圓展,34.3,35.05,33.65,34.05,244,-
2025-12-31,6506,雙邦,15.4,15.4,15.35,15.35,9,-
2025-12-31,3219,倚強股份,70.0,75.9,69.2,75.9,4867,-
2025-12-31,3685,元創精密,40.1,41.7,39.0,41.5,1389,-
2025-12-31,6275,元山,52.8,53.3,51.7,52.6,763,-
2025-12-31,5604,中連貨,37.3,37.3,37.05,37.1,8,-
2025-12-31,8354,冠好,16.1,16.15,16.0,16.0,41,-
2025-12-31,3313,斐成,14.65,14.9,14.6,14.7,311,-
2025-12-31,5345,天揚,23.7,23.7,23.6,23.7,13,-
2025-12-31,8489,三貝德,41.0,41.0,40.15,40.2,23,-
2025-12-31,2495,普安,32.9,34.2,32.2,33.05,20807,-
2025-12-31,6431,光麗-KY,27.1,27.5,26.8,26.9,309,-
2025-12-31,2340,台亞,26.6,27.1,26.1,26.1,1779,-
2025-12-31,5321,美而快,36.3,36.4,36.1,36.15,26,-
2025-12-31,3512,皇龍,21.95,22.0,21.8,21.9,61,-
2025-12-31,8080,永利聯合,28.7,29.0,28.7,28.7,16,-
2025-12-31,5209,新鼎,166.5,167.5,166.0,167.5,17,-
2025-12-31,6873,泓德能源-創,100.5,102.0,98.6,98.7,684,-
2025-12-31,6869,雲豹能源-創,92.5,92.6,91.2,91.4,726,-
2025-12-31,2432,倚天,25.5,25.55,25.35,25.5,20,-
2025-12-31,5301,寶得利,11.8,11.8,10.9,11.3,16,-
2025-12-31,5364,力麗店,14.8,14.9,14.65,14.8,35,-
2025-12-31,5278,尚凡,30.3,30.6,30.0,30.5,130,-
2025-12-31,6195,詩肯,25.55,25.7,25.55,25.65,14,-
2025-12-31,5902,德記,44.65,44.65,44.25,44.55,7,-
2025-12-31,8066,來思達,19.75,20.0,19.75,19.8,35,-
2025-12-31,1268,漢來美食,159.0,159.5,158.5,159.5,35,-
2025-12-31,1259,安心,60.2,62.3,60.2,62.2,7,-
2025-12-31,5706,鳳凰,50.7,50.8,50.4,50.6,60,-
2025-12-31,5704,老爺知,27.5,27.9,27.45,27.8,46,-
2025-12-31,5703,亞都,0.0,0.0,0.0,0.0,0,-
2025-12-31,5701,劍湖山,4.23,4.23,4.06,4.2,129,-
2025-12-31,8472,夠麻吉,68.0,71.3,68.0,71.3,2,-
2025-12-31,5904,寶雅,438.0,442.0,437.5,439.5,93,-
2025-12-31,5905,南仁湖,9.26,9.26,9.1,9.11,650,-
2025-12-31,3522,御頂,19.5,19.6,18.85,19.2,285,-
2025-12-31,8462,柏文,148.0,152.0,146.5,151.0,106,-
2025-12-31,8477,創業家,12.5,12.5,12.3,12.45,10,-
2025-12-31,5903,全家,191.5,192.0,190.5,192.0,47,-
2025-12-31,8044,網家,30.45,33.3,30.2,31.9,3345,-
2025-12-31,8077,洛碁,43.45,43.95,43.45,43.95,2,-
2025-12-31,8433,弘帆,51.7,51.7,51.0,51.2,29,-
2025-12-31,2937,集雅社,44.45,44.45,44.45,44.45,2,-
2025-12-31,5287,數字,170.0,170.5,170.0,170.5,11,-
2025-12-31,2707,晶華,190.5,190.5,189.0,189.0,154,-
2025-12-31,2727,王品,217.0,218.5,217.0,217.0,178,-
2025-12-31,2729,瓦城,178.0,178.0,177.0,177.0,10,-
2025-12-31,2748,雲品,42.85,42.85,42.45,42.6,74,-
2025-12-31,2745,五福,105.5,105.5,104.0,105.0,55,-
2025-12-31,2712,遠雄來,18.25,18.35,18.0,18.35,18,-
2025-12-31,3252,海灣,19.75,19.75,19.7,19.7,5,-
2025-12-31,2723,美食-KY,72.2,72.2,70.8,70.8,215,-
2025-12-31,6763,綠界科技,56.8,57.9,56.6,57.5,557,-
2025-12-31,2731,雄獅,163.5,164.5,163.5,163.5,189,-
2025-12-31,2743,山富,79.9,79.9,79.0,79.4,35,-
2025-12-31,2740,天蔥,27.85,28.15,26.95,27.7,18,-
2025-12-31,2739,寒舍,35.7,36.2,35.7,35.95,39,-
2025-12-31,2736,富野,14.55,14.75,14.5,14.5,109,-
2025-12-31,2734,易飛網,18.6,18.6,18.4,18.5,45,-
2025-12-31,2732,六角,69.3,70.8,69.2,70.5,35,-
2025-12-31,8940,新天地,20.4,20.4,20.3,20.4,15,-
2025-12-31,3171,新洲,46.9,47.0,46.2,46.5,34,-
