date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-01-19,50,元大台灣50,71.7,72.8,71.45,72.6,122970,-32901,-13557,-10291,3.0,96.99,100.0,-
2026-01-19,51,元大中型100,100.7,102.8,100.7,102.7,177,0,0,-72,0.58,99.41,100.0,-
2026-01-19,52,富邦科技,41.81,42.7,41.64,42.48,73592,-3431,-16466,-14803,0.96,99.03,100.0,-
2026-01-19,53,元大電子,156.1,157.45,155.35,157.1,25,-1,0,-11,1.13,98.86,100.0,-
2026-01-19,55,元大MSCI金融,32.27,32.72,32.24,32.53,171,15,0,33,0.58,99.41,100.0,-
2026-01-19,56,元大高股息,38.26,38.47,38.18,38.42,82058,665,2245,-983,0.54,99.45,100.0,-
2026-01-19,57,富邦摩台,208.55,211.05,208.55,211.05,17,0,0,0,4.06,95.93,100.0,-
2026-01-19,61,元大寶滬深,23.81,23.88,23.61,23.71,329,-89,0,148,4.97,95.02,100.0,-
2026-01-19,1101,台泥,25.0,26.45,24.9,26.2,80518,26089,-21,3511,18.95,81.04,100.0,-
2026-01-19,1102,亞泥,36.6,37.05,36.5,36.8,10104,1093,-2438,-45,17.54,82.45,100.0,-
2026-01-19,1103,嘉泥,13.9,14.2,13.9,14.1,364,42,0,-32,4.47,95.52,100.0,-
2026-01-19,1104,環泥,30.1,30.5,30.1,30.25,367,141,0,-40,16.49,83.5,100.0,-
2026-01-19,1108,幸福,15.1,15.2,15.05,15.15,294,-27,0,-17,1.26,98.73,100.0,-
2026-01-19,1109,信大,15.5,15.6,15.5,15.55,162,-25,0,-14,2.31,97.68,100.0,-
2026-01-19,1110,東泥,16.35,16.65,16.3,16.55,346,-26,0,-6,5.94,94.05,100.0,-
2026-01-19,1201,味全,14.4,14.6,14.4,14.6,742,219,0,-18,5.45,94.54,100.0,-
2026-01-19,1203,味王,39.2,39.6,39.2,39.5,13,-1,0,-1,1.63,98.36,100.0,-
2026-01-19,1210,大成,52.0,53.0,51.9,52.3,2078,745,-454,-24,10.34,89.65,100.0,-
2026-01-19,1213,大飲,10.0,10.0,9.85,9.99,11,0,0,0,0.02,99.97,100.0,-
2026-01-19,1215,卜蜂,154.0,155.0,150.5,150.5,948,-107,-119,16,41.7,58.29,100.0,-
2026-01-19,1216,統一,75.4,75.4,74.7,74.7,10023,-4288,-1633,-11,32.98,67.01,100.0,-
2026-01-19,1217,愛之味,10.6,10.7,10.6,10.6,927,43,0,-37,8.24,91.75,100.0,-
2026-01-19,1218,泰山,18.3,18.6,18.25,18.5,1021,197,0,-39,3.14,96.85,100.0,-
2026-01-19,1219,福壽,13.45,13.6,13.4,13.5,306,65,0,2,5.28,94.71,100.0,-
2026-01-19,1220,台榮,12.45,13.1,12.2,13.05,1558,-194,0,-4,6.92,93.07,100.0,-
2026-01-19,1225,福懋油,28.6,28.65,28.25,28.3,292,-118,0,0,1.39,98.6,100.0,-
2026-01-19,1227,佳格,29.5,29.65,29.3,29.45,1056,-145,0,-18,5.72,94.27,100.0,-
2026-01-19,1229,聯華,46.5,47.15,46.3,46.7,1813,598,0,-36,9.65,90.34,100.0,-
2026-01-19,1231,聯華食,94.9,95.0,94.0,94.2,342,74,0,0,2.88,97.11,100.0,-
2026-01-19,1232,大統益,146.0,146.5,146.0,146.0,51,19,0,-6,2.22,97.77,100.0,-
2026-01-19,1233,天仁,32.35,32.35,32.3,32.35,17,-1,0,11,5.51,94.48,100.0,-
2026-01-19,1234,黑松,37.45,37.5,37.2,37.2,129,-16,0,-15,4.79,95.2,100.0,-
2026-01-19,1235,興泰,44.75,44.8,43.5,43.5,41,-7,0,-2,0.18,99.81,100.0,-
2026-01-19,1236,宏亞,24.55,24.65,24.4,24.55,62,0,0,-3,0.44,99.55,100.0,-
2026-01-19,1240,茂生農經,60.0,60.0,60.0,60.0,18,2,0,0,3.65,96.34,100.0,-
2026-01-19,1256,鮮活果汁-KY,168.0,168.0,157.0,157.0,108,10,0,1,4.44,95.55,100.0,-
2026-01-19,1259,安心,61.9,62.0,61.3,62.0,6,0,0,0,26.12,73.87,100.0,-
2026-01-19,1260,富味鄉,16.62,17.1,16.9,17.05,457,0,0,0,0.0,0.0,0.0,-
2026-01-19,1264,德麥,281.0,281.0,280.0,280.0,21,2,0,0,1.49,98.5,100.0,-
2026-01-19,1268,漢來美食,161.5,163.0,161.5,162.5,31,0,0,0,1.64,98.35,100.0,-
2026-01-19,1269,乾杯,65.78,66.3,63.5,66.3,27,0,0,0,0.0,0.0,0.0,-
2026-01-19,1271,晨暉生技,56.14,56.2,55.4,55.5,121,0,0,0,0.0,0.0,0.0,-
