date,stock_id,stock_name,open,high,low,close,volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-04-21,0050,元大台灣50,85.5,86.1,85.0,86.0,75557,19390,100,2617,3.69,96.3,100.0
2026-04-21,0051,元大中型100,123.3,124.55,123.3,124.45,69,0,0,-10,0.56,99.43,100.0
2026-04-21,0052,富邦科技,49.72,50.0,49.4,49.94,35505,9721,-2800,3421,2.1,97.89,100.0
2026-04-21,0053,元大電子,195.15,197.85,195.15,197.85,16,0,0,-1,1.28,98.71,100.0
2026-04-21,0055,元大MSCI金融,33.58,33.58,33.32,33.35,228,0,0,-127,0.56,99.43,100.0
2026-04-21,0056,元大高股息,41.6,41.98,41.6,41.97,77242,-166,0,-2116,0.62,99.37,100.0
2026-04-21,0057,富邦摩台,252.8,256.0,252.8,256.0,16,2,0,-4,6.16,93.83,100.0
2026-04-21,0061,元大寶滬深,24.19,24.19,24.06,24.15,217,3,0,191,4.86,95.13,100.0
2026-04-21,1101,台泥,25.0,25.0,24.7,24.75,13083,-152,-14,-14,17.12,82.87,100.0
2026-04-21,1102,亞泥,35.2,35.45,35.05,35.3,11748,4871,-5565,13,15.74,84.25,100.0
2026-04-21,1103,嘉泥,13.95,14.0,13.8,13.85,354,159,0,4,4.52,95.47,100.0
2026-04-21,1104,環泥,29.3,29.3,29.1,29.2,509,-3,0,-16,16.07,83.92,100.0
2026-04-21,1108,幸福,14.75,14.85,14.75,14.75,228,-8,0,-4,1.37,98.62,100.0
2026-04-21,1109,信大,15.5,15.55,15.4,15.45,141,24,0,2,2.36,97.63,100.0
2026-04-21,1110,東泥,15.7,15.75,15.4,15.6,123,67,0,0,6.0,93.99,100.0
2026-04-21,1201,味全,13.15,13.25,13.1,13.2,399,26,0,0,5.23,94.76,100.0
2026-04-21,1203,味王,44.0,44.2,43.55,43.8,66,15,0,0,1.69,98.3,100.0
2026-04-21,1210,大成,55.0,55.1,54.0,54.1,3476,989,-1607,18,11.95,88.04,100.0
2026-04-21,1213,大飲,8.98,9.14,8.95,9.07,79,0,0,0,0.01,99.98,100.0
2026-04-21,1215,卜蜂,144.5,144.5,142.5,142.5,901,-261,-1,19,39.28,60.71,100.0
2026-04-21,1216,統一,72.6,72.8,71.9,72.0,10950,4398,-7031,229,32.45,67.54,100.0
2026-04-21,1217,愛之味,10.4,10.4,10.35,10.35,322,4,0,-35,8.0,91.99,100.0
2026-04-21,1218,泰山,19.0,19.05,18.9,19.0,534,-12,0,-3,4.35,95.64,100.0
2026-04-21,1219,福壽,14.1,14.15,14.0,14.05,342,-87,0,-9,5.93,94.06,100.0
2026-04-21,1220,台榮,12.5,12.6,12.5,12.6,115,10,0,0,7.17,92.82,100.0
2026-04-21,1225,福懋油,33.95,34.3,33.35,33.35,590,-185,0,-4,1.38,98.61,100.0
2026-04-21,1227,佳格,30.15,30.25,30.0,30.1,954,-270,0,-51,6.05,93.94,100.0
2026-04-21,1229,聯華,43.8,43.8,43.5,43.65,3169,-678,0,-10,9.39,90.6,100.0
2026-04-21,1231,聯華食,89.1,89.4,88.7,88.7,459,-22,0,0,2.75,97.24,100.0
2026-04-21,1232,大統益,151.5,152.0,150.0,150.5,69,23,0,-2,2.66,97.33,100.0
2026-04-21,1233,天仁,29.0,29.0,28.6,28.7,14,4,0,-2,5.57,94.42,100.0
2026-04-21,1234,黑松,36.3,36.3,35.85,36.0,175,38,0,-1,4.84,95.15,100.0
2026-04-21,1235,興泰,46.3,46.8,45.95,46.55,69,15,0,0,0.23,99.76,100.0
2026-04-21,1236,宏亞,26.6,26.9,25.1,25.45,215,-12,0,-78,0.51,99.48,100.0
2026-04-21,1240,茂生農經,59.3,59.5,59.2,59.4,18,0,0,0,3.66,96.33,100.0
2026-04-21,1256,鮮活果汁-KY,162.5,166.0,161.0,165.5,67,17,0,-1,4.36,95.63,100.0
2026-04-21,1259,安心,58.0,58.1,58.0,58.1,8,1,0,0,26.12,73.87,100.0
2026-04-21,1260,富味鄉,25.9,27.55,25.7,27.55,134,0,0,0,0.0,0.0,0.0
2026-04-21,1264,德麥,276.0,276.5,275.5,276.5,31,0,0,-1,1.55,98.44,100.0
2026-04-21,1268,漢來美食,158.0,158.0,157.0,157.0,6,-1,0,0,1.61,98.38,100.0
2026-04-21,1269,乾杯,75.74,76.0,75.6,75.6,0,0,0,0,0.0,0.0,0.0
2026-04-21,1271,晨暉生技,58.77,58.9,57.1,58.6,57,0,0,0,0.0,0.0,0.0
2026-04-21,1293,利統,27.16,28.1,27.85,28.1,5,0,0,0,0.0,0.0,0.0
