date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio
2026-05-15,0050,元大台灣50,97.65,98.25,95.2,95.4,98132,14642,-24067,-495,2010,3.09,96.9,100.0
2026-05-15,0051,元大中型100,132.5,132.65,129.0,129.1,139,4,1,0,-57,0.46,99.53,100.0
2026-05-15,0052,富邦科技,57.8,58.1,55.85,55.95,50888,7969,-11925,0,1834,1.64,98.35,100.0
2026-05-15,0053,元大電子,224.95,227.0,221.3,221.3,33,3,3,0,1,0.8,99.19,100.0
2026-05-15,0055,元大MSCI金融,33.8,34.13,33.6,33.66,308,25,-5,0,99,0.66,99.33,100.0
2026-05-15,0056,元大高股息,45.38,45.68,44.37,44.45,59832,9080,-8699,1230,8443,0.84,99.15,100.0
2026-05-15,0057,富邦摩台,290.75,290.75,286.45,286.45,14,0,0,0,-1,5.7,94.29,100.0
2026-05-15,0061,元大寶滬深,25.32,25.32,24.89,25.0,199,30,0,0,-8,4.58,95.41,100.0
2026-05-15,1101,台泥,24.6,24.65,24.0,24.1,30234,5927,-13077,-5,143,15.92,84.07,100.0
2026-05-15,1102,亞泥,35.2,35.2,34.35,34.35,11291,2241,-6915,-194,-73,16.18,83.81,100.0
2026-05-15,1103,嘉泥,13.1,13.15,12.95,12.95,421,1,-193,0,-1,4.54,95.45,100.0
2026-05-15,1104,環泥,28.0,28.0,27.35,27.35,1742,465,-399,0,3,15.59,84.4,100.0
2026-05-15,1108,幸福,14.0,14.0,13.85,13.85,593,37,-157,0,0,1.2,98.79,100.0
2026-05-15,1109,信大,15.05,15.05,14.8,14.85,471,16,-141,0,0,2.31,97.68,100.0
2026-05-15,1110,東泥,14.4,14.5,14.15,14.2,128,58,-39,0,0,5.85,94.14,100.0
2026-05-15,1201,味全,12.15,12.2,12.0,12.05,559,39,-314,0,0,5.03,94.96,100.0
2026-05-15,1203,味王,42.65,42.7,42.3,42.55,25,5,-8,0,1,1.71,98.28,100.0
2026-05-15,1210,大成,52.6,53.2,52.6,52.9,2142,511,628,-49,-3,11.99,88.0,100.0
2026-05-15,1213,大飲,8.99,8.99,8.5,8.9,9,0,0,0,0,0.01,99.98,100.0
2026-05-15,1215,卜蜂,139.0,142.0,138.5,140.0,2362,302,-467,206,296,35.27,64.72,100.0
2026-05-15,1216,統一,75.0,76.7,74.9,75.7,17694,2364,11335,-707,-192,32.75,67.24,100.0
2026-05-15,1217,愛之味,9.63,9.63,9.49,9.5,1075,84,-538,0,0,7.47,92.52,100.0
2026-05-15,1218,泰山,18.9,18.9,18.4,18.45,1117,58,-522,0,7,3.98,96.01,100.0
2026-05-15,1219,福壽,12.95,13.0,12.75,12.8,1148,97,-170,0,5,5.59,94.4,100.0
2026-05-15,1220,台榮,12.1,12.1,11.95,12.0,231,7,-42,0,0,7.12,92.87,100.0
2026-05-15,1225,福懋油,30.25,30.3,29.1,29.25,327,13,-145,0,-6,1.32,98.67,100.0
