date,stock_id,stock_name,open,high,low,close,volume,day_trading_volume,foreign_buy,trust_buy,dealer_buy,foreign_hold_ratio,foreign_remain_ratio,foreign_limit_ratio,macd_status
2026-06-18,50,元大台灣50,107.0,107.45,106.65,107.3,78557,0,14338,2200,-846,0.0,0.0,0.0,-
2026-06-18,51,元大中型100,145.5,147.75,145.5,147.7,117,0,0,0,68,0.0,0.0,0.0,-
2026-06-18,52,富邦科技,62.6,62.9,62.35,62.8,25192,0,3671,0,2461,0.0,0.0,0.0,-
2026-06-18,53,元大電子,245.45,245.45,244.5,244.95,25,0,0,0,0,0.0,0.0,0.0,-
2026-06-18,55,元大MSCI金融,42.91,43.69,42.91,43.46,1453,0,83,0,-504,0.0,0.0,0.0,-
2026-06-18,56,元大高股息,52.4,52.85,52.4,52.8,33652,0,8196,0,2483,0.0,0.0,0.0,-
2026-06-18,57,富邦摩台,317.5,317.55,315.9,317.2,39,0,0,0,28,0.0,0.0,0.0,-
2026-06-18,61,元大寶滬深,25.38,25.61,25.3,25.5,575,0,189,0,332,0.0,0.0,0.0,-
2026-06-18,1101,台泥,24.6,24.8,24.5,24.5,32351,0,-9248,52,6,0.0,0.0,0.0,多
2026-06-18,1102,亞泥,35.6,36.05,35.5,35.8,19588,0,1858,-909,349,0.0,0.0,0.0,多
2026-06-18,1103,嘉泥,13.9,13.9,13.65,13.8,232,0,-54,0,0,0.0,0.0,0.0,多
2026-06-18,1104,環泥,29.2,29.35,29.05,29.1,1604,0,-362,0,-16,0.0,0.0,0.0,多
2026-06-18,1108,幸福,13.9,13.95,13.8,13.9,148,0,-35,0,-1,0.0,0.0,0.0,多
2026-06-18,1109,信大,14.65,14.65,14.55,14.65,258,0,-14,0,-28,0.0,0.0,0.0,多
2026-06-18,1110,東泥,15.75,15.8,15.45,15.55,265,0,25,0,0,0.0,0.0,0.0,多
2026-06-18,1201,味全,12.45,12.55,12.45,12.55,489,0,34,0,0,0.0,0.0,0.0,多
2026-06-18,1203,味王,42.9,43.0,42.85,43.0,4,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,1210,大成,55.1,55.7,54.7,54.7,3386,0,395,151,108,0.0,0.0,0.0,多
2026-06-18,1213,大飲,8.49,8.5,8.33,8.33,12,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,1215,卜蜂,116.5,116.5,114.5,115.0,2068,0,-460,-240,0,0.0,0.0,0.0,多
2026-06-18,1216,統一,76.3,76.4,74.5,74.5,26980,0,-11886,8258,-5,0.0,0.0,0.0,多
2026-06-18,1217,愛之味,9.9,9.91,9.83,9.88,537,0,-42,0,-21,0.0,0.0,0.0,多
2026-06-18,1218,泰山,17.9,17.95,17.8,17.9,1195,0,-428,0,-13,0.0,0.0,0.0,空
2026-06-18,1219,福壽,12.55,12.6,12.5,12.6,269,0,-37,0,-31,0.0,0.0,0.0,多
2026-06-18,1220,台榮,11.75,11.8,11.65,11.7,78,0,12,0,-10,0.0,0.0,0.0,多
2026-06-18,1225,福懋油,33.0,33.0,32.1,32.25,271,0,-143,0,-5,0.0,0.0,0.0,多
2026-06-18,1227,佳格,28.8,29.25,28.8,29.1,2304,0,311,0,44,0.0,0.0,0.0,多
2026-06-18,1229,聯華,42.0,42.1,41.65,41.9,4134,0,3,21,54,0.0,0.0,0.0,多
2026-06-18,1231,聯華食,87.0,87.4,86.8,87.4,221,0,77,0,-5,0.0,0.0,0.0,多
2026-06-18,1232,大統益,143.5,143.5,142.5,143.0,222,0,-96,0,7,0.0,0.0,0.0,空
2026-06-18,1233,天仁,27.9,28.0,27.9,28.0,28,0,-2,0,2,0.0,0.0,0.0,多
2026-06-18,1234,黑松,35.2,35.2,34.8,34.85,118,0,-38,0,-1,0.0,0.0,0.0,多
2026-06-18,1235,興泰,37.95,38.25,36.1,37.65,21,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,1236,宏亞,25.8,25.9,25.55,25.8,142,0,3,0,-1,0.0,0.0,0.0,多
2026-06-18,1240,茂生農經,58.5,58.5,58.3,58.4,11,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,1256,鮮活果汁-KY,177.5,186.5,177.5,181.5,117,0,-13,0,12,0.0,0.0,0.0,空
2026-06-18,1259,安心,57.5,58.0,57.0,58.0,17,0,1,0,0,0.0,0.0,0.0,多
2026-06-18,1260,富味鄉,23.75,23.75,22.5,23.5,113,0,1,0,0,0.0,0.0,0.0,空
2026-06-18,1264,德麥,273.0,273.0,271.0,271.5,28,0,-5,0,-13,0.0,0.0,0.0,多
2026-06-18,1268,漢來美食,170.0,170.5,169.5,169.5,20,0,2,0,0,0.0,0.0,0.0,空
2026-06-18,1269,乾杯,68.79,69.5,69.5,69.5,0,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,1271,晨暉生技,63.9,64.0,62.0,62.1,83,0,0,0,0,0.0,0.0,0.0,多
2026-06-18,1293,利統,26.75,27.85,26.7,27.85,6,0,0,0,0,0.0,0.0,0.0,空
2026-06-18,1294,漢田生技,80.2,81.5,79.0,79.0,120,0,7,0,0,0.0,0.0,0.0,多
2026-06-18,1295,生合,49.65,50.6,48.8,50.1,87,0,-20,0,0,0.0,0.0,0.0,多
2026-06-18,1301,台塑,48.4,51.8,48.4,51.7,188508,0,142290,-107362,375,0.0,0.0,0.0,多
